Source Code,Term Original,Value Set Name,Code System Name,Code System Version
16746261000119108,Moderate nonproliferative retinopathy of right eye due to diabetes mellitus type 2,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
16746341000119103,Bilateral moderate nonproliferative retinopathy due to diabetes mellitus type 2,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
16746901000119101,Severe nonproliferative retinopathy of left eye due to diabetes mellitus type 2,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
16747021000119109,Bilateral severe nonproliferative retinopathy of eyes due to diabetes mellitus type 2,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
16747141000119104,Severe nonproliferative retinopathy of right eye due to diabetes mellitus type 2,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
16747661000119109,Bilateral nonproliferative retinopathy due to diabetes mellitus type 2,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
16747901000119104,Proliferative retinopathy of left eye due to diabetes mellitus type 2,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
16748141000119100,Bilateral proliferative retinopathy due to diabetes mellitus type 2,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
16749661000119102,Proliferative retinopathy of right eye due to diabetes mellitus type 2,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
16891151000119103,Coronary artery disease due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
190331003,Hyperosmolar coma due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
190384004,Type II diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
190385003,Type II diabetes mellitus with renal complications,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
190386002,Type II diabetes mellitus with ophthalmic complications,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
190387006,Type II diabetes mellitus with neurological complications,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
190389009,Type 2 diabetes mellitus with ulcer,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
190390000,Type 2 diabetes mellitus with gangrene,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
190391001,Type II diabetes mellitus with retinopathy,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
190392008,Type II diabetes mellitus - poor control,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
190395005,Type II diabetes mellitus without complication,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
190396006,Type II diabetes mellitus with mononeuropathy,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
190397002,Type II diabetes mellitus with polyneuropathy,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
190398007,Type II diabetes mellitus with nephropathy,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
190399004,Type II diabetes mellitus with hypoglycemic coma,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
190400006,Type II diabetes mellitus with diabetic cataract,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
190401005,Type II diabetes mellitus with peripheral angiopathy,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
190402003,Type II diabetes mellitus with arthropathy,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
190403008,Type II diabetes mellitus with neuropathic arthropathy,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
199230006,Pre-existing type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
201000119106,Disorder due to well controlled type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
237599002,Insulin treated type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
237627000,Pregnancy and type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
250.00,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled","Diabetes Mellitus, Type 2",ICD-9-CM Diagnosis,31/32
250.02,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled","Diabetes Mellitus, Type 2",ICD-9-CM Diagnosis,31/32
250.10,"Diabetes with ketoacidosis, type II or unspecified type, not stated as uncontrolled","Diabetes Mellitus, Type 2",ICD-9-CM Diagnosis,31/32
250.12,"Diabetes with ketoacidosis, type II or unspecified type, uncontrolled","Diabetes Mellitus, Type 2",ICD-9-CM Diagnosis,31/32
250.20,"Diabetes with hyperosmolarity, type II or unspecified type, not stated as uncontrolled","Diabetes Mellitus, Type 2",ICD-9-CM Diagnosis,31/32
