Source Code,Term Original,Value Set Name,Code System Name,Code System Version
1231824009,Metabolic dysfunction-associated steatotic liver disease,Metabolic Dysfunction-associated Steatotic Liver Disease,SNOMED CT US Edition,20250901
16819301000119102,Nonalcoholic fatty liver during pregnancy,Metabolic Dysfunction-associated Steatotic Liver Disease,SNOMED CT US Edition,20250901
442685003,Metabolic dysfunction-associated steatohepatitis,Metabolic Dysfunction-associated Steatotic Liver Disease,SNOMED CT US Edition,20250901
571.8,Other chronic nonalcoholic liver disease,Metabolic Dysfunction-associated Steatotic Liver Disease,ICD-9-CM Diagnosis,31/32
722866000,Metabolic dysfunction-associated steatotic liver,Metabolic Dysfunction-associated Steatotic Liver Disease,SNOMED CT US Edition,20250901
79720007,Chronic nonalcoholic liver disease,Metabolic Dysfunction-associated Steatotic Liver Disease,SNOMED CT US Edition,20250901
K75.81,Nonalcoholic steatohepatitis (NASH),Metabolic Dysfunction-associated Steatotic Liver Disease,ICD-10-CM,2026
K76.0,"Fatty (change of) liver, not elsewhere classified",Metabolic Dysfunction-associated Steatotic Liver Disease,ICD-10-CM,2026
